Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
LC,Land Cover,IND,India,5007,Area from MODIS,6982,Coastal water bodies and intertidal areas,2021,2021,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5007,Area from MODIS,6982,Coastal water bodies and intertidal areas,2022,2022,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5007,Area from MODIS,6982,Coastal water bodies and intertidal areas,2023,2023,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6982,Coastal water bodies and intertidal areas,2020,2020,,,,
LC,Land Cover,IND,India,5008,Area from CCI_LC,6982,Coastal water bodies and intertidal areas,2021,2021,,,,
LC,Land Cover,IND,India,5008,Area from CCI_LC,6982,Coastal water bodies and intertidal areas,2022,2022,,,,
LC,Land Cover,IND,India,5008,Area from CCI_LC,6982,Coastal water bodies and intertidal areas,2023,2023,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6982,Coastal water bodies and intertidal areas,2020,2020,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5013,Area from WorldCover,6982,Coastal water bodies and intertidal areas,2021,2021,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5013,Area from WorldCover,6982,Coastal water bodies and intertidal areas,2022,2022,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6982,Coastal water bodies and intertidal areas,2023,2023,,,,
